licence_uid;revision
satellite-lake-water-level;1
creative-commons-attribution-noncommercial-4-0-international-public-licence;1
creative-commons-attribution-sharealike-4-0-international-public-licence;1
CMEMS-licence;1
creative-commons-attribution-4-0-international-public-licence;1
gnss-data-policy;1
glamod-data-policy;1
eumetsat-rom-saf;4
cc-by;1
satellite-cloud-properties-cci;1
satellite-land-cover;1
terms-of-use-ads;1
licence-to-use-insitu-glaciers-extent;7
satellite-cloud-properties-clara;1
Copernicus-Global-Land-product-licence;1
licence-to-use-insitu-glaciers-elevation-mass;7
cicero-cmip6-indicators-licence;1
igra-data-policy;1
provider-without;1
sst-cci-ensemble;1
cmip6-wps;1
esgf-cmip5;1
eumetsat-cm-saf;1
woudc-data-policy;1
global-land-observations-data-policy;1
eumetsat-osi-saf-sic;1
eumetsat-cm-saf-uth;1
cci;1
modis_for_satellite-burned-area;1
sst-cci;2
terms-of-use-cds;11
ec-sentinel;1
creative-commons-attribute-4-international-licence;1
insitu-gridded-observations-global-and-regional;1
vito-proba-v;1
licence-to-use-E-OBS-products;1
satellite-ocean-colour;1
gruan-data-policy;1
CCI-data-policy-for-satellite-surface-radiation-budget;4
cems-floods;1
smhi-swicca;1
efas-cems;1
Additional-licence-to-use-non-European-contributions;1
ESA-CCI-sea-ice-concentration;1
fire-cci_for_satellite-burned-area;1
earth-radiation-budget-noaa-hirs-licence;1
data-protection-privacy-statement;24
earth-radiation-budget-nasa-ceres-licence;2
licence-to-use-copernicus-products;12
uhz-glaciers;5
global-precipitation-climatology-project;1
sis-european-windstorm-indicators-licence;1
cordex-licence;1
ghg-cci;1
eumetsat-osi-saf;1
ads-data-protection-privacy-statement;1
